,product_url,product_name,price,rating,number_of_reviews,ASIN,product_description,manufacturer
201,https://www.amazon.in//Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-196,wooum Water Resisitance Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Blue,₹328,575,575,,,
202,https://www.amazon.in//F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5/ref=sr_1_197?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-197,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),"₹1,168",202,202,,,
203,https://www.amazon.in//Tabelito-Office-Laptop-Briefcase-Women/dp/B08FL584Z4/ref=sr_1_198?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-198,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,₹549,"1,404","1,404",,,
204,https://www.amazon.in//Lunars-Travel-Laptop-Bag-compartments/dp/B08NHL52MK/ref=sr_1_199?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-199,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments","₹1,199","2,428","2,428",,,
205,https://www.amazon.in//Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM/ref=sr_1_200?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-200,Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,"₹1,114","5,533","5,533",,,
206,https://www.amazon.in//Half-Moon-Travelling-Compartment-Polyester/dp/B09CGZ2W28/ref=sr_1_201?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-201,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover (Polyester Navy),₹979,903,903,,,
207,https://www.amazon.in//Gear-Clubsport-Faux-Leather-Black-Red-DUFCLBSRT0109/dp/B097KCLVCP/ref=sr_1_202?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-202,Gear Clubsport 25 Ltrs Faux-Leather Water Resistant Travel Duffle Bag/Gym Bag for Men/Women - Black Red,₹699,222,222,,,
208,https://www.amazon.in//POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B/ref=sr_1_203?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-203,"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹599,"3,400","3,400",,,
209,https://www.amazon.in//Step-Backpack-Small-Water-Repellant/dp/B088X9M73T/ref=sr_1_204?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-204,"Mi Step Out 12 L Mini Backpack (Small Size, Sky Blue, Water Repellant)",₹299,"7,634","7,634",,,
210,https://www.amazon.in//Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_205?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-205,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,₹999,"2,270","2,270",,,
211,https://www.amazon.in//Isle-Locada-Hidesign-Womens-Sling/dp/B07TDTPRJ9/ref=sr_1_206?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-206,Isle Locada by Hidesign Women's SLING BAG(MARSALA/BROWN),"₹1,899",353,353,,,
